HEADER	8	14	500	53	365
BOM	0	2	52
BOM	0	3	171
BOM	0	4	130
BOM	0	5	130
BOM	0	6	11
BOM	1	1	154
BOM	2	0	16
BOM	2	1	106
BOM	2	3	77
BOM	3	0	185
BOM	3	1	43
BOM	3	6	72
BOM	4	3	104
BOM	4	4	135
BOM	4	5	51
BOM	5	2	88
BOM	5	4	73
BOM	5	5	191
BOM	5	7	12
BOM	6	0	183
BOM	6	2	186
BOM	6	3	185
BOM	7	1	130
BOM	7	3	194
BOM	7	6	172
BOM	7	7	150
BOM	8	1	192
BOM	8	2	187
BOM	8	3	123
BOM	8	5	12
BOM	9	1	100
BOM	9	3	182
BOM	9	6	170
BOM	9	7	196
BOM	10	0	100
BOM	10	1	22
BOM	10	2	37
BOM	10	4	119
BOM	10	6	179
BOM	10	7	132
BOM	11	0	58
BOM	11	1	189
BOM	11	2	195
BOM	11	4	144
BOM	11	6	98
BOM	12	0	66
BOM	12	3	114
BOM	12	4	194
BOM	12	5	165
BOM	12	7	143
BOM	13	0	121
BOM	13	3	109
BOM	13	4	159
COMBI	0	12	11	15178
COMBI	0	12	12	0
COMBI	0	12	13	16572
COMBI	0	13	2	295
COMBI	0	13	3	11257
COMBI	0	13	6	7283
COMBI	0	13	10	16120
COMBI	0	13	11	14165
COMBI	0	13	12	16572
COMBI	0	13	13	0
COMBI	1	1	1	0
COMBI	1	1	2	13478
COMBI	1	1	3	5962
COMBI	1	1	7	4331
COMBI	1	1	8	8527
COMBI	1	1	9	4135
COMBI	1	1	10	9998
COMBI	1	1	11	12699
COMBI	1	2	1	13478
COMBI	1	2	2	0
COMBI	1	2	3	14624
COMBI	1	2	7	12886
COMBI	1	2	8	11656
COMBI	1	2	9	5228
COMBI	1	2	10	14248
COMBI	1	2	11	3562
COMBI	1	3	1	5962
COMBI	1	3	2	14624
COMBI	1	3	3	0
COMBI	1	3	7	3797
COMBI	1	3	8	15098
COMBI	1	3	9	9310
COMBI	1	3	10	15565
COMBI	1	3	11	19008
COMBI	1	7	1	4331
COMBI	1	7	2	12886
COMBI	1	7	3	3797
COMBI	1	7	7	0
COMBI	1	7	8	10803
COMBI	1	7	9	15266
COMBI	1	7	10	1179
COMBI	1	7	11	1033
COMBI	1	8	1	8527
COMBI	1	8	2	11656
COMBI	1	8	3	15098
COMBI	1	8	7	10803
COMBI	1	8	8	0
COMBI	1	8	9	16910
COMBI	1	8	10	5698
COMBI	1	8	11	13264
COMBI	1	9	1	4135
COMBI	1	9	2	5228
COMBI	1	9	3	9310
COMBI	1	9	7	15266
COMBI	1	9	8	16910
COMBI	1	9	9	0
COMBI	1	9	10	17963
COMBI	1	9	11	9132
COMBI	1	10	1	9998
COMBI	1	10	2	14248
COMBI	1	10	3	15565
COMBI	1	10	7	1179
COMBI	1	10	8	5698
COMBI	1	10	9	17963
COMBI	1	10	10	0
COMBI	1	10	11	7482
COMBI	1	11	1	12699
COMBI	1	11	2	3562
COMBI	1	11	3	19008
COMBI	1	11	7	1033
COMBI	1	11	8	13264
COMBI	1	11	9	9132
COMBI	1	11	10	7482
COMBI	1	11	11	0
COMBI	2	0	0	0
COMBI	2	0	5	5497
COMBI	2	0	6	6192
COMBI	2	0	8	15966
COMBI	2	0	10	4311
COMBI	2	0	11	16916
COMBI	2	5	0	5497
COMBI	2	5	5	0
COMBI	2	5	6	11701
COMBI	2	5	8	16882
COMBI	2	5	10	15346
COMBI	2	5	11	18882
COMBI	2	6	0	6192
COMBI	2	6	5	11701
COMBI	2	6	6	0
COMBI	2	6	8	3079
COMBI	2	6	10	12639
COMBI	2	6	11	4106
COMBI	2	8	0	15966
COMBI	2	8	5	16882
COMBI	2	8	6	3079
COMBI	2	8	8	0
COMBI	2	8	10	17761
COMBI	2	8	11	2040
COMBI	2	10	0	4311
COMBI	2	10	5	15346
COMBI	2	10	6	12639
COMBI	2	10	8	17761
COMBI	2	10	10	0
COMBI	2	10	11	15290
COMBI	2	11	0	16916
COMBI	2	11	5	18882
COMBI	2	11	6	4106
COMBI	2	11	8	2040
COMBI	2	11	10	15290
COMBI	2	11	11	0
COMBI	3	0	0	0
COMBI	3	0	2	7873
COMBI	3	0	4	16331
COMBI	3	0	6	1379
COMBI	3	0	7	16393
COMBI	3	0	8	13661
COMBI	3	0	9	8098
COMBI	3	0	12	17202
COMBI	3	0	13	6445
COMBI	3	2	0	7873
COMBI	3	2	2	0
COMBI	3	2	4	17755
COMBI	3	2	6	14168
COMBI	3	2	7	1546
COMBI	3	2	8	1263
COMBI	3	2	9	3847
COMBI	3	2	12	15033
COMBI	3	2	13	1299
COMBI	3	4	0	16331
COMBI	3	4	2	17755
COMBI	3	4	4	0
COMBI	3	4	6	16204
COMBI	3	4	7	353
COMBI	3	4	8	14369
COMBI	3	4	9	17900
COMBI	3	4	12	12867
COMBI	3	4	13	15423
COMBI	3	6	0	1379
COMBI	3	6	2	14168
COMBI	3	6	4	16204
COMBI	3	6	6	0
COMBI	3	6	7	10879
COMBI	3	6	8	14074
COMBI	3	6	9	19580
COMBI	3	6	12	3436
COMBI	3	6	13	4488
COMBI	3	7	0	16393
COMBI	3	7	2	1546
COMBI	3	7	4	353
COMBI	3	7	6	10879
COMBI	3	7	7	0
COMBI	3	7	8	4403
COMBI	3	7	9	2259
COMBI	3	7	12	17854
COMBI	3	7	13	17625
COMBI	3	8	0	13661
COMBI	3	8	2	1263
COMBI	3	8	4	14369
COMBI	3	8	6	14074
COMBI	3	8	7	4403
COMBI	3	8	8	0
COMBI	3	8	9	18431
COMBI	3	8	12	4954
COMBI	3	8	13	16398
COMBI	3	9	0	8098
COMBI	3	9	2	3847
COMBI	3	9	4	17900
COMBI	3	9	6	19580
COMBI	3	9	7	2259
COMBI	3	9	8	18431
COMBI	3	9	9	0
COMBI	3	9	12	2394
COMBI	3	9	13	19639
COMBI	3	12	0	17202
COMBI	3	12	2	15033
COMBI	3	12	4	12867
COMBI	3	12	6	3436
COMBI	3	12	7	17854
COMBI	3	12	8	4954
COMBI	3	12	9	2394
COMBI	3	12	12	0
COMBI	3	12	13	2789
COMBI	3	13	0	6445
COMBI	3	13	2	1299
COMBI	3	13	4	15423
COMBI	3	13	6	4488
COMBI	3	13	7	17625
COMBI	3	13	8	16398
COMBI	3	13	9	19639
COMBI	3	13	12	2789
COMBI	3	13	13	0
COMBI	4	0	0	0
COMBI	4	0	4	12901
COMBI	4	0	5	12573
COMBI	4	0	10	8826
COMBI	4	0	11	5600
COMBI	4	0	12	5667
COMBI	4	0	13	5181
COMBI	4	4	0	12901
COMBI	4	4	4	0
COMBI	4	4	5	12381
COMBI	4	4	10	16828
COMBI	4	4	11	16964
COMBI	4	4	12	10211
COMBI	4	4	13	12016
COMBI	4	5	0	12573
COMBI	4	5	4	12381
COMBI	4	5	5	0
COMBI	4	5	10	2388
COMBI	4	5	11	8509
COMBI	4	5	12	4335
COMBI	4	5	13	4366
COMBI	4	10	0	8826
COMBI	4	10	4	16828
COMBI	4	10	5	2388
COMBI	4	10	10	0
COMBI	4	10	11	13240
COMBI	4	10	12	1745
COMBI	4	10	13	5074
COMBI	4	11	0	5600
COMBI	4	11	4	16964
COMBI	4	11	5	8509
COMBI	4	11	10	13240
COMBI	4	11	11	0
COMBI	4	11	12	1665
COMBI	4	11	13	8965
COMBI	4	12	0	5667
COMBI	4	12	4	10211
COMBI	4	12	5	4335
COMBI	4	12	10	1745
COMBI	4	12	11	1665
COMBI	4	12	12	0
COMBI	4	12	13	6430
COMBI	4	13	0	5181
COMBI	4	13	4	12016
COMBI	4	13	5	4366
COMBI	4	13	10	5074
COMBI	4	13	11	8965
COMBI	4	13	12	6430
COMBI	4	13	13	0
COMBI	5	0	0	0
COMBI	5	0	4	11917
COMBI	5	0	5	10904
COMBI	5	0	8	12083
COMBI	5	0	12	5775
COMBI	5	4	0	11917
COMBI	5	4	4	0
COMBI	5	4	5	11350
COMBI	5	4	8	16896
COMBI	5	4	12	18218
COMBI	5	5	0	10904
COMBI	5	5	4	11350
COMBI	5	5	5	0
COMBI	5	5	8	13715
COMBI	5	5	12	3664
COMBI	5	8	0	12083
COMBI	5	8	4	16896
COMBI	5	8	5	13715
COMBI	5	8	8	0
COMBI	5	8	12	18987
COMBI	5	12	0	5775
COMBI	5	12	4	18218
COMBI	5	12	5	3664
COMBI	5	12	8	18987
COMBI	5	12	12	0
COMBI	6	0	0	0
COMBI	6	0	3	15897
COMBI	6	0	7	10000
COMBI	6	0	9	2487
COMBI	6	0	10	9164
COMBI	6	0	11	8810
COMBI	6	3	0	15897
COMBI	6	3	3	0
COMBI	6	3	7	1408
COMBI	6	3	9	18970
COMBI	6	3	10	18007
COMBI	6	3	11	7367
COMBI	6	7	0	10000
COMBI	6	7	3	1408
COMBI	6	7	7	0
COMBI	6	7	9	2566
COMBI	6	7	10	15721
COMBI	6	7	11	13196
COMBI	6	9	0	2487
COMBI	6	9	3	18970
COMBI	6	9	7	2566
COMBI	6	9	9	0
COMBI	6	9	10	4957
COMBI	6	9	11	3044
COMBI	6	10	0	9164
COMBI	6	10	3	18007
COMBI	6	10	7	15721
COMBI	6	10	9	4957
COMBI	6	10	10	0
COMBI	6	10	11	12461
COMBI	6	11	0	8810
COMBI	6	11	3	7367
COMBI	6	11	7	13196
COMBI	6	11	9	3044
COMBI	6	11	10	12461
COMBI	6	11	11	0
COMBI	7	5	5	0
COMBI	7	5	7	14893
COMBI	7	5	9	19686
COMBI	7	5	10	19137
COMBI	7	5	12	13153
COMBI	7	7	5	14893
COMBI	7	7	7	0
COMBI	7	7	9	9087
COMBI	7	7	10	4061
COMBI	7	7	12	17605
COMBI	7	9	5	19686
COMBI	7	9	7	9087
COMBI	7	9	9	0
COMBI	7	9	10	15507
COMBI	7	9	12	12819
COMBI	7	10	5	19137
COMBI	7	10	7	4061
COMBI	7	10	9	15507
COMBI	7	10	10	0
COMBI	7	10	12	9831
COMBI	7	12	5	13153
COMBI	7	12	7	17605
COMBI	7	12	9	12819
COMBI	7	12	10	9831
COMBI	7	12	12	0
ORDER	0	1	27895	57307	11	1210	4685	
ORDER	1	4	16682	35315	15	8445	46	
ORDER	2	11	32469	43375	13	15184	2641	
ORDER	3	8	18616	50953	19	30134	4611	
ORDER	4	3	18372	54529	27	33534	4186	
ORDER	5	10	28750	59570	2	2644	563	
ORDER	6	6	11892	36518	20	24740	5982	
ORDER	7	11	43383	73245	21	24528	957	
ORDER	8	1	11061	49478	23	2530	1603	
ORDER	9	6	40922	72068	15	18555	9794	
ORDER	10	4	40242	76228	14	7882	6672	
ORDER	11	9	17990	35439	16	3344	1396	
ORDER	12	0	22969	56234	24	16416	5798	
ORDER	13	0	24606	51727	6	4104	240	
ORDER	14	1	12156	52066	10	1100	8529	
ORDER	15	12	55442	66592	22	21956	6568	
ORDER	16	10	43579	77325	15	19830	8760	
ORDER	17	9	51215	76120	10	2090	598	
ORDER	18	12	13887	47204	8	7984	3026	
ORDER	19	9	15661	42760	13	2717	9124	
ORDER	20	8	11117	47899	21	33306	732	
ORDER	21	12	3841	27170	6	5988	7604	
ORDER	22	8	25372	64104	5	7930	3915	
ORDER	23	6	7112	39418	20	24740	3514	
ORDER	24	12	20117	49330	8	7984	7766	
ORDER	25	1	4948	16606	6	660	9720	
ORDER	26	7	37709	58185	11	16720	6389	
ORDER	27	5	35640	73739	22	31020	330	
ORDER	28	12	7502	45488	14	13972	4229	
ORDER	29	5	30538	45667	10	14100	1926	
ORDER	30	2	27689	41299	13	1547	596	
ORDER	31	3	37888	75556	24	29808	3619	
ORDER	32	4	27018	46574	25	14075	2954	
ORDER	33	5	8326	39339	18	25380	3832	
ORDER	34	1	5221	44875	21	2310	4668	
ORDER	35	9	21886	43571	20	4180	2983	
ORDER	36	4	6549	32160	19	10697	3624	
ORDER	37	3	6192	36808	5	6210	2951	
ORDER	38	9	18872	48917	27	5643	8243	
ORDER	39	8	32998	70022	7	11102	6237	
ORDER	40	4	32149	47086	6	3378	7889	
ORDER	41	4	27425	45534	14	7882	803	
ORDER	42	8	14090	39585	9	14274	14	
ORDER	43	12	29476	59084	1	998	8981	
ORDER	44	0	24023	50397	22	15048	208	
ORDER	45	12	51673	79171	27	26946	5028	
ORDER	46	9	4673	19953	3	627	6212	
ORDER	47	5	48768	66351	25	35250	3257	
ORDER	48	11	3261	38133	30	35040	1281	
ORDER	49	5	51190	79240	5	7050	6022	
ORDER	50	9	21409	32117	13	2717	8877	
ORDER	51	4	4625	43130	26	14638	179	
ORDER	52	5	24007	44392	2	2820	7201	
ORDER	53	3	43615	67705	21	26082	2607	
ORDER	54	12	4805	43213	29	28942	7827	
ORDER	55	7	20784	49296	16	24320	7440	
ORDER	56	1	20990	53077	25	2750	2640	
ORDER	57	9	48933	73643	30	6270	8523	
ORDER	58	2	9736	42984	14	1666	9156	
ORDER	59	0	25820	52598	8	5472	8191	
ORDER	60	11	36874	63461	2	2336	152	
ORDER	61	6	16861	51617	23	28451	6275	
ORDER	62	5	45538	78729	13	18330	4245	
ORDER	63	10	18102	28390	15	19830	1987	
ORDER	64	9	20081	42631	24	5016	4405	
ORDER	65	6	11694	42279	8	9896	5684	
ORDER	66	8	43469	66058	9	14274	1303	
ORDER	67	8	4024	26976	12	19032	2749	
ORDER	68	13	34661	59754	20	4400	8220	
ORDER	69	0	7255	47102	27	18468	3476	
ORDER	70	6	42400	62943	4	4948	3069	
ORDER	71	5	217	17297	18	25380	8719	
ORDER	72	5	21400	54268	11	15510	1518	
ORDER	73	2	33559	61720	7	833	9783	
ORDER	74	5	4519	39304	8	11280	2601	
ORDER	75	4	46408	76752	21	11823	9470	
ORDER	76	9	10410	28417	23	4807	7476	
ORDER	77	11	53114	73468	6	7008	6682	
ORDER	78	1	45634	60845	16	1760	7819	
ORDER	79	9	27431	50614	21	4389	1599	
ORDER	80	5	9487	43859	5	7050	974	
ORDER	81	12	1954	32430	20	19960	7559	
ORDER	82	4	58107	75564	18	10134	7748	
ORDER	83	7	12917	24784	19	28880	5933	
ORDER	84	5	19390	42723	7	9870	1116	
ORDER	85	6	42824	78511	21	25977	4352	
ORDER	86	8	61061	74083	16	25376	2855	
ORDER	87	7	35261	64655	29	44080	5222	
ORDER	88	10	9699	42345	15	19830	734	
ORDER	89	12	44509	62806	17	16966	4735	
ORDER	90	1	60869	75173	26	2860	7063	
ORDER	91	0	22476	36060	18	12312	5909	
ORDER	92	11	20756	53850	27	31536	4186	
ORDER	93	6	35658	46574	29	35873	3702	
ORDER	94	9	1371	30935	12	2508	6027	
ORDER	95	11	56167	74455	10	11680	3433	
ORDER	96	1	38220	64972	14	1540	544	
ORDER	97	1	26960	66285	25	2750	8145	
ORDER	98	7	41069	70340	11	16720	3834	
ORDER	99	4	10564	41790	3	1689	301	
ORDER	100	1	47874	78406	9	990	4195	
ORDER	101	7	20203	45380	4	6080	4667	
ORDER	102	5	19562	51247	15	21150	3657	
ORDER	103	1	32518	61385	18	1980	1862	
ORDER	104	7	32340	45109	5	7600	1166	
ORDER	105	1	62788	74785	25	2750	1885	
ORDER	106	1	8969	42732	12	1320	4055	
ORDER	107	10	10151	38786	20	26440	4710	
ORDER	108	7	2512	39846	22	33440	7863	
ORDER	109	5	22373	45309	28	39480	542	
ORDER	110	6	16906	47716	9	11133	7494	
ORDER	111	12	45487	68333	25	24950	2429	
ORDER	112	5	39280	53511	17	23970	3540	
ORDER	113	7	22955	58105	7	10640	8252	
ORDER	114	12	6868	27787	15	14970	9621	
ORDER	115	8	20622	38474	23	36478	44	
ORDER	116	3	55254	74485	3	3726	3680	
ORDER	117	7	3983	37811	23	34960	7352	
ORDER	118	8	36770	59551	18	28548	2403	
ORDER	119	4	7564	30040	21	11823	7347	
ORDER	120	5	57420	77780	9	12690	7001	
ORDER	121	9	56074	79714	9	1881	8320	
ORDER	122	0	11377	23496	3	2052	4019	
ORDER	123	11	40321	78313	17	19856	8422	
ORDER	124	9	13924	46849	29	6061	4033	
ORDER	125	9	5248	39853	13	2717	4217	
ORDER	126	8	49258	63759	25	39650	9567	
ORDER	127	3	11661	35839	11	13662	4621	
ORDER	128	4	37867	50534	22	12386	2249	
ORDER	129	3	22007	60630	13	16146	6154	
ORDER	130	10	10974	26243	5	6610	2829	
ORDER	131	10	58855	79871	27	35694	4520	
ORDER	132	11	35656	71530	22	25696	3379	
ORDER	133	7	46141	73976	2	3040	5577	
ORDER	134	5	44612	73924	24	33840	6817	
ORDER	135	4	28561	40095	2	1126	8501	
ORDER	136	4	31045	64568	11	6193	1788	
ORDER	137	7	23852	54041	26	39520	7513	
ORDER	138	11	10187	33113	3	3504	3054	
ORDER	139	6	14861	25918	7	8659	5286	
ORDER	140	5	43622	56476	23	32430	1745	
ORDER	141	11	26329	42284	8	9344	757	
ORDER	142	11	742	22398	4	4672	2331	
ORDER	143	0	28637	63093	18	12312	5136	
ORDER	144	6	11437	22988	3	3711	8577	
ORDER	145	9	10274	39960	23	4807	9122	
ORDER	146	3	11864	39967	27	33534	2262	
ORDER	147	6	7595	33774	13	16081	1683	
ORDER	148	7	17076	52416	2	3040	1646	
ORDER	149	3	6150	19584	26	32292	46	
ORDER	150	12	29869	40027	4	3992	1649	
ORDER	151	8	24771	63835	11	17446	2646	
ORDER	152	8	41074	69511	10	15860	8848	
ORDER	153	5	4969	35209	12	16920	6539	
ORDER	154	12	29931	49168	5	4990	378	
ORDER	155	8	30677	40966	11	17446	7385	
ORDER	156	10	20927	45784	9	11898	1144	
ORDER	157	8	35703	71057	5	7930	1211	
ORDER	158	11	34814	73563	12	14016	3743	
ORDER	159	4	32897	61752	25	14075	9895	
ORDER	160	12	24437	60744	10	9980	2720	
ORDER	161	1	49388	63294	24	2640	9886	
ORDER	162	5	45155	60077	8	11280	4679	
ORDER	163	0	4090	31563	22	15048	5982	
ORDER	164	11	21518	55370	14	16352	3001	
ORDER	165	8	49095	62682	19	30134	1655	
ORDER	166	0	52966	69140	9	6156	666	
ORDER	167	5	37680	64483	13	18330	1470	
ORDER	168	11	19464	57691	23	26864	9842	
ORDER	169	4	48659	76232	3	1689	144	
ORDER	170	12	25951	43243	5	4990	2356	
ORDER	171	5	7986	24569	6	8460	8465	
ORDER	172	11	40117	76712	3	3504	7400	
ORDER	173	8	5424	41988	19	30134	4346	
ORDER	174	2	668	22930	25	2975	7245	
ORDER	175	1	26313	51896	4	440	8130	
ORDER	176	3	6930	42412	16	19872	7536	
ORDER	177	10	1068	31693	11	14542	754	
ORDER	178	10	17924	28801	8	10576	9386	
ORDER	179	11	22600	48243	10	11680	1268	
ORDER	180	12	41726	76763	24	23952	1778	
ORDER	181	11	38302	60750	19	22192	9461	
ORDER	182	13	38413	60159	20	4400	5309	
ORDER	183	0	14103	33726	12	8208	6429	
ORDER	184	7	32177	42371	14	21280	1722	
ORDER	185	3	38508	74801	16	19872	8587	
ORDER	186	8	24334	59488	15	23790	6719	
ORDER	187	2	27016	65165	6	714	5590	
ORDER	188	3	39304	71360	6	7452	4329	
ORDER	189	9	5402	32297	3	627	5620	
ORDER	190	9	3112	36830	3	627	3914	
ORDER	191	4	41129	71652	22	12386	3592	
ORDER	192	1	19931	50109	26	2860	9388	
ORDER	193	2	13637	37454	11	1309	3371	
ORDER	194	7	18728	58598	15	22800	5562	
ORDER	195	10	35169	72666	8	10576	271	
ORDER	196	8	53126	74153	20	31720	4640	
ORDER	197	4	40413	63687	17	9571	9205	
ORDER	198	1	23515	50740	26	2860	2080	
ORDER	199	8	7604	27312	9	14274	8666	
ORDER	200	5	61473	74334	24	33840	6576	
ORDER	201	12	50586	74659	28	27944	5425	
ORDER	202	5	24864	54942	17	23970	20	
ORDER	203	8	6821	46744	10	15860	7407	
ORDER	204	9	25689	48372	17	3553	5789	
ORDER	205	8	12062	49235	3	4758	9301	
ORDER	206	12	7016	45249	10	9980	4819	
ORDER	207	4	20257	46185	8	4504	1571	
ORDER	208	3	55433	66714	11	13662	3093	
ORDER	209	5	16444	40938	1	1410	324	
ORDER	210	12	53628	77578	20	19960	6506	
ORDER	211	9	26906	49162	12	2508	3073	
ORDER	212	2	7446	45377	28	3332	2642	
ORDER	213	8	35183	58393	24	38064	8412	
ORDER	214	5	34787	45604	11	15510	578	
ORDER	215	3	1698	39417	2	2484	264	
ORDER	216	3	50537	79186	10	12420	5928	
ORDER	217	12	25554	54675	26	25948	7481	
ORDER	218	11	5614	31068	15	17520	7426	
ORDER	219	10	11391	48762	27	35694	7268	
ORDER	220	6	23968	46057	7	8659	6087	
ORDER	221	10	12846	37575	11	14542	1151	
ORDER	222	1	38771	75854	1	110	3044	
ORDER	223	12	12426	32741	25	24950	6024	
ORDER	224	4	12109	50115	2	1126	9855	
ORDER	225	4	1263	38744	30	16890	4234	
ORDER	226	2	16428	26684	3	357	5777	
ORDER	227	4	35558	46221	18	10134	9982	
ORDER	228	12	7277	35907	9	8982	6000	
ORDER	229	8	47745	68616	18	28548	4466	
ORDER	230	4	30985	64178	15	8445	3419	
ORDER	231	12	28784	45262	8	7984	9819	
ORDER	232	3	58864	74722	9	11178	3321	
ORDER	233	7	8811	45960	16	24320	4695	
ORDER	234	1	60492	75894	24	2640	2357	
ORDER	235	8	8510	21481	4	6344	8001	
ORDER	236	13	38796	52124	5	1100	2668	
ORDER	237	12	27057	66362	7	6986	5680	
ORDER	238	1	40115	55251	18	1980	6602	
ORDER	239	12	15848	43109	6	5988	3041	
ORDER	240	6	55880	69371	14	17318	4566	
ORDER	241	12	35556	63496	19	18962	1406	
ORDER	242	6	50514	72624	12	14844	1077	
ORDER	243	10	53247	73588	17	22474	9700	
ORDER	244	11	43937	54544	29	33872	7694	
ORDER	245	4	9274	31919	10	5630	4313	
ORDER	246	13	27670	53002	12	2640	5755	
ORDER	247	4	38072	69782	19	10697	4706	
ORDER	248	7	666	38552	19	28880	5308	
ORDER	249	9	31534	53638	25	5225	5868	
ORDER	250	10	51470	67761	18	23796	6493	
ORDER	251	1	15867	34690	29	3190	4041	
ORDER	252	5	34720	48279	19	26790	2434	
ORDER	253	3	43841	70088	23	28566	7213	
ORDER	254	2	43685	76763	14	1666	7408	
ORDER	255	3	53765	69128	29	36018	1456	
ORDER	256	9	38362	77252	14	2926	3246	
ORDER	257	13	9293	49218	6	1320	4904	
ORDER	258	7	30079	54649	17	25840	5089	
ORDER	259	4	10369	24245	28	15764	3162	
ORDER	260	5	32695	67623	4	5640	6263	
ORDER	261	9	35075	58318	12	2508	3351	
ORDER	262	12	5327	28444	25	24950	1578	
ORDER	263	1	27774	43192	22	2420	5540	
ORDER	264	10	30197	60179	17	22474	8078	
ORDER	265	11	40851	77776	13	15184	2696	
ORDER	266	9	17013	45035	3	627	5166	
ORDER	267	3	18301	30406	8	9936	7847	
ORDER	268	2	26849	45109	3	357	186	
ORDER	269	12	26338	55338	12	11976	4518	
ORDER	270	2	8256	35168	20	2380	9281	
ORDER	271	10	52193	75798	27	35694	1552	
ORDER	272	10	39769	57218	18	23796	6748	
ORDER	273	1	14260	35943	8	880	5640	
ORDER	274	11	18317	35459	16	18688	6112	
ORDER	275	6	21151	40266	15	18555	7977	
ORDER	276	3	35812	66614	16	19872	1602	
ORDER	277	8	24602	50428	2	3172	8134	
ORDER	278	0	25151	62500	19	12996	5577	
ORDER	279	6	22841	60342	5	6185	4157	
ORDER	280	10	58875	78669	7	9254	5405	
ORDER	281	13	29321	64801	17	3740	4505	
ORDER	282	1	51671	77062	7	770	7277	
ORDER	283	12	30375	61466	14	13972	3898	
ORDER	284	0	46506	75293	5	3420	4003	
ORDER	285	11	3501	31179	10	11680	5214	
ORDER	286	3	33854	56356	2	2484	4822	
ORDER	287	12	43272	55595	26	25948	9033	
ORDER	288	2	12526	49318	17	2023	8737	
ORDER	289	4	16347	47363	26	14638	3104	
ORDER	290	10	2913	34010	22	29084	6766	
ORDER	291	10	14256	48182	7	9254	6489	
ORDER	292	4	15213	35481	23	12949	5381	
ORDER	293	0	41240	75254	6	4104	6455	
ORDER	294	4	6980	46202	9	5067	1842	
ORDER	295	1	15086	31712	4	440	9465	
ORDER	296	0	8725	21293	16	10944	6215	
ORDER	297	5	13553	53080	24	33840	6441	
ORDER	298	1	38649	54619	14	1540	4360	
ORDER	299	2	35711	49309	29	3451	3690	
ORDER	300	3	4110	31519	28	34776	7258	
ORDER	301	2	47082	78516	6	714	4401	
ORDER	302	1	23302	35194	3	330	7734	
ORDER	303	6	55679	70132	23	28451	264	
ORDER	304	2	36078	75261	24	2856	8865	
ORDER	305	5	42447	74260	18	25380	4398	
ORDER	306	0	47861	68384	29	19836	193	
ORDER	307	7	35064	46952	16	24320	690	
ORDER	308	3	8346	31655	6	7452	8526	
ORDER	309	3	10020	46179	26	32292	5402	
ORDER	310	6	12097	49596	3	3711	160	
ORDER	311	1	54347	70568	8	880	9292	
ORDER	312	4	28128	63407	11	6193	9236	
ORDER	313	11	30886	68735	18	21024	6526	
ORDER	314	1	55412	65419	17	1870	2193	
ORDER	315	13	35596	65768	24	5280	2358	
ORDER	316	6	41144	61394	10	12370	6595	
ORDER	317	13	23617	36394	18	3960	7225	
ORDER	318	12	3939	40195	8	7984	1706	
ORDER	319	11	7750	23568	9	10512	8293	
ORDER	320	10	17330	29603	16	21152	3324	
ORDER	321	1	55328	65972	22	2420	4926	
ORDER	322	11	20912	52220	16	18688	843	
ORDER	323	6	38234	74051	5	6185	5413	
ORDER	324	10	7991	28288	10	13220	4477	
ORDER	325	5	31931	45200	18	25380	1433	
ORDER	326	0	6045	21540	27	18468	4703	
ORDER	327	1	25477	40623	29	3190	9536	
ORDER	328	12	16119	40019	28	27944	9762	
ORDER	329	3	20150	49562	26	32292	2824	
